employee_id,employee_name,role,department,vechs_status,ethics_status
WM-EMP-001,Employee_001,Admin,Operations,Eligible,SIGNED
WM-EMP-002,Employee_002,Counselor,Athletics,Eligible,SIGNED
WM-EMP-003,Employee_003,Nurse,Admin,Eligible,SIGNED
WM-EMP-004,Employee_004,Coach,Academics,EXPIRED,SIGNED
WM-EMP-005,Employee_005,Teacher,Operations,Eligible,PENDING
WM-EMP-006,Employee_006,Admin,Athletics,Eligible,SIGNED
WM-EMP-007,Employee_007,Counselor,Admin,Eligible,SIGNED
WM-EMP-008,Employee_008,Nurse,Academics,Eligible,SIGNED
WM-EMP-009,Employee_009,Coach,Operations,Eligible,SIGNED
WM-EMP-010,Employee_010,Teacher,Athletics,Eligible,SIGNED
WM-EMP-011,Employee_011,Admin,Admin,Eligible,PENDING
WM-EMP-012,Employee_012,Counselor,Academics,Eligible,SIGNED
WM-EMP-013,Employee_013,Nurse,Operations,Eligible,SIGNED
WM-EMP-014,Employee_014,Coach,Athletics,Eligible,SIGNED
WM-EMP-015,Employee_015,Teacher,Admin,Eligible,SIGNED
WM-EMP-016,Employee_016,Admin,Academics,Eligible,SIGNED
WM-EMP-017,Employee_017,Counselor,Operations,Eligible,SIGNED
WM-EMP-018,Employee_018,Nurse,Athletics,Eligible,SIGNED
WM-EMP-019,Employee_019,Coach,Admin,Eligible,PENDING
WM-EMP-020,Employee_020,Teacher,Academics,Eligible,SIGNED
WM-EMP-021,Employee_021,Admin,Operations,Eligible,SIGNED
WM-EMP-022,Employee_022,Counselor,Athletics,Eligible,SIGNED
WM-EMP-023,Employee_023,Nurse,Admin,Eligible,SIGNED
WM-EMP-024,Employee_024,Coach,Academics,Eligible,SIGNED
WM-EMP-025,Employee_025,Teacher,Operations,Eligible,SIGNED
WM-EMP-026,Employee_026,Admin,Athletics,Eligible,PENDING
WM-EMP-027,Employee_027,Counselor,Admin,Eligible,SIGNED
WM-EMP-028,Employee_028,Nurse,Academics,Eligible,SIGNED
WM-EMP-029,Employee_029,Coach,Operations,Eligible,SIGNED
WM-EMP-030,Employee_030,Teacher,Athletics,Eligible,SIGNED
WM-EMP-031,Employee_031,Admin,Admin,Eligible,SIGNED
WM-EMP-032,Employee_032,Counselor,Academics,Eligible,SIGNED
WM-EMP-033,Employee_033,Nurse,Operations,Eligible,SIGNED
WM-EMP-034,Employee_034,Coach,Athletics,Eligible,SIGNED
WM-EMP-035,Employee_035,Teacher,Admin,Eligible,SIGNED
WM-EMP-036,Employee_036,Admin,Academics,Eligible,SIGNED
WM-EMP-037,Employee_037,Counselor,Operations,Eligible,SIGNED
WM-EMP-038,Employee_038,Nurse,Athletics,Eligible,PENDING
WM-EMP-039,Employee_039,Coach,Admin,Eligible,SIGNED
WM-EMP-040,Employee_040,Teacher,Academics,Eligible,SIGNED
WM-EMP-041,Employee_041,Admin,Operations,Eligible,SIGNED
WM-EMP-042,Employee_042,Counselor,Athletics,Eligible,SIGNED
WM-EMP-043,Employee_043,Nurse,Admin,Eligible,SIGNED
WM-EMP-044,Employee_044,Coach,Academics,Eligible,PENDING
WM-EMP-045,Employee_045,Teacher,Operations,Eligible,SIGNED
WM-EMP-046,Employee_046,Admin,Athletics,Eligible,SIGNED
WM-EMP-047,Employee_047,Counselor,Admin,Eligible,SIGNED
