teacher_id,teacher_name,subject,contract_on_file,degree_on_file,transcript_on_file,notes
WM-T-001,Teacher_001,Math,YES,YES,YES,Complete
WM-T-002,Teacher_002,Science,YES,YES,YES,Complete
WM-T-003,Teacher_003,History,YES,YES,NO,Transcript missing in onboarding packet
WM-T-004,Teacher_004,Arts,YES,YES,NO,Transcript missing in onboarding packet
WM-T-005,Teacher_005,English,YES,YES,NO,Transcript missing in onboarding packet
WM-T-006,Teacher_006,Math,YES,YES,YES,Complete
WM-T-007,Teacher_007,Science,YES,YES,YES,Complete
WM-T-008,Teacher_008,History,YES,YES,YES,Complete
WM-T-009,Teacher_009,Arts,YES,YES,YES,Complete
WM-T-010,Teacher_010,English,YES,YES,YES,Complete
WM-T-011,Teacher_011,Math,YES,YES,YES,Complete
WM-T-012,Teacher_012,Science,YES,YES,YES,Complete
WM-T-013,Teacher_013,History,YES,YES,YES,Complete
WM-T-014,Teacher_014,Arts,YES,YES,YES,Complete
WM-T-015,Teacher_015,English,YES,YES,YES,Complete
WM-T-016,Teacher_016,Math,YES,YES,YES,Complete
WM-T-017,Teacher_017,Science,YES,YES,YES,Complete
WM-T-018,Teacher_018,History,YES,YES,YES,Complete
WM-T-019,Teacher_019,Arts,YES,YES,YES,Complete
WM-T-020,Teacher_020,English,YES,YES,YES,Complete
WM-T-021,Teacher_021,Math,YES,YES,YES,Complete
WM-T-022,Teacher_022,Science,YES,YES,YES,Complete
WM-T-023,Teacher_023,History,YES,YES,YES,Complete
WM-T-024,Teacher_024,Arts,YES,YES,YES,Complete
WM-T-025,Teacher_025,English,YES,YES,YES,Complete
WM-T-026,Teacher_026,Math,YES,YES,YES,Complete
WM-T-027,Teacher_027,Science,YES,YES,YES,Complete
WM-T-028,Teacher_028,History,YES,YES,YES,Complete
WM-T-029,Teacher_029,Arts,YES,YES,YES,Complete
WM-T-030,Teacher_030,English,YES,YES,YES,Complete
WM-T-031,Teacher_031,Math,YES,YES,YES,Complete
WM-T-032,Teacher_032,Science,YES,YES,YES,Complete
WM-T-033,Teacher_033,History,YES,YES,YES,Complete
WM-T-034,Teacher_034,Arts,YES,YES,YES,Complete
WM-T-035,Teacher_035,English,YES,YES,YES,Complete
WM-T-036,Teacher_036,Math,YES,YES,YES,Complete
WM-T-037,Teacher_037,Science,YES,YES,YES,Complete
WM-T-038,Teacher_038,History,YES,YES,YES,Complete
WM-T-039,Teacher_039,Arts,YES,YES,YES,Complete
WM-T-040,Teacher_040,English,YES,YES,YES,Complete
WM-T-041,Teacher_041,Math,YES,YES,YES,Complete
WM-T-042,Teacher_042,Science,YES,YES,YES,Complete
WM-T-043,Teacher_043,History,YES,YES,YES,Complete
WM-T-044,Teacher_044,Arts,YES,YES,YES,Complete
WM-T-045,Teacher_045,English,YES,YES,YES,Complete
WM-T-046,Teacher_046,Math,YES,YES,YES,Complete
WM-T-047,Teacher_047,Science,YES,YES,YES,Complete
